,crit_vs_sec_last_insp,prior_2p_crit_insps
40402095,1,1
40402102,1,0
40402106,0,3
40402145,1,3
40402172,1,2
40402187,2,7
40402205,1,6
40402222,1,1
40402231,0,2
40402238,4,1
40402266,0,5
40402333,1,2
40402337,1,6
40402345,3,3
40402362,1,4
40402365,1,2
40402368,2,1
40402369,0,3
40402375,0,0
40402376,1,2
40402377,0,1
40402393,1,0
40402397,3,10
40402398,2,1
40402407,0,1
40402418,2,3
40402423,1,0
40402424,1,1
40402428,1,10
40402465,2,5
40402466,1,0
40402527,1,0
40402610,2,1
40402699,2,3
40402709,1,1
40402717,0,0
40402742,2,1
40402755,1,1
40402756,1,4
40402785,2,4
40402788,1,0
40402893,4,4
40402899,1,2
40403110,1,1
40403419,1,1
40403579,1,2
40403586,3,1
40403721,0,0
40403768,0,0
40403799,1,0
40403822,1,0
40403830,1,1
40403857,1,2
40403880,1,1
40403917,4,3
40403946,0,1
40403988,1,0
40403989,1,1
40403999,1,3
40404010,1,1
40404017,1,0
40404024,2,2
40404069,1,1
40404074,0,0
40404080,1,1
40423356,0,0
40423364,2,1
40423399,1,0
40423403,2,2
40423440,2,4
40423450,1,4
40423481,1,4
40423510,1,1
40423547,0,1
40423563,1,1
40423571,1,2
40423654,1,3
40423705,1,0
40423819,4,3
40423830,1,3
40423976,1,3
40424247,2,2
40424273,1,9
40424337,4,5
40424365,1,3
40424400,1,1
40424410,1,2
40424437,1,3
40424488,2,5
40424515,3,7
40424633,0,3
40424709,4,4
40424723,1,0
40424765,2,5
40424780,2,4
40424894,1,0
40424906,2,6
40424933,0,0
40424955,1,3
40424972,1,1
40425000,1,5
40425021,1,2
40425023,1,2
40425029,2,2
40425060,1,4
40425131,3,4
40425143,1,2
40482436,1,1
40482586,1,1
40482591,0,0
40482592,0,0
40482593,1,3
40482596,1,3
40482597,1,2
40482598,0,0
40482599,0,1
40482600,1,0
40482841,1,1
40483195,1,1
40483540,1,0
40483596,0,1
40483597,1,0
40483602,1,1
40483694,1,0
40483695,0,0
40483696,1,0
40483697,1,0
40483729,1,0
40510286,1,1
40510293,2,2
40510301,3,2
40510335,2,1
40510341,2,5
40510389,1,0
40510439,3,8
40510605,2,6
40510647,0,4
40510804,5,5
40510811,0,0
40510823,1,4
40510827,1,0
40511155,1,0
40511169,2,9
40511194,2,4
40511243,4,5
40511292,1,5
40511312,5,8
40511479,2,4
40511577,1,7
40511645,1,2
40511659,1,3
40511696,2,4
40511702,2,8
40511771,1,5
40511852,3,1
40511904,1,0
40512002,4,2
40512074,1,0
40512087,2,2
40512123,1,4
40512129,1,3
40512172,1,4
40512186,2,1
40512204,0,1
40512207,1,0
40512258,0,1
40512297,2,2
40512403,2,3
40512425,2,2
40512445,2,6
40512520,1,3
40512610,1,1
40512617,1,0
40512717,1,1
40512746,2,9
40512788,1,2
40512852,1,0
40512865,1,4
40512868,1,1
40513021,2,5
40513031,1,0
40513059,2,7
40513133,2,1
40513164,1,5
40513184,1,3
40513217,1,1
40513414,2,4
40513416,0,2
40513609,2,8
40513633,1,3
40513662,1,4
40513798,1,2
40513885,1,2
40514147,1,2
40514507,1,1
40514734,3,3
40515124,1,3
40515448,2,6
40515523,1,1
40515590,1,3
40515597,3,4
40515670,2,2
40515675,0,1
40515702,0,1
40515875,1,1
40516149,2,4
40516509,2,1
40516511,0,0
40517120,1,1
40518828,0,0
40519425,1,1
40520604,0,0
40520857,1,0
40521003,1,1
40521005,1,2
40521343,1,0
40522190,0,0
40523095,1,3
40523753,1,1
40523865,1,2
40523972,2,1
40524778,1,4
40524833,0,0
40524836,0,0
40524837,1,3
40524843,2,1
40524888,1,0
40524910,2,2
40524920,2,6
40525193,1,2
40525206,2,4
40525431,0,1
40525609,1,0
40525625,1,2
40525767,2,10
40526104,2,3
40526147,1,7
40526254,2,4
40526406,1,2
40526489,0,6
40527001,3,4
40527369,1,0
40527514,0,0
40528073,1,1
40528180,1,1
40528297,2,8
40528441,1,2
40528983,1,5
40529040,0,0
40529203,0,2
40529979,3,4
40530159,1,2
40530266,1,1
40530583,1,1
40530630,1,1
40530791,2,8
40532870,1,0
40533002,1,2
40533515,1,5
40534067,1,3
40534155,5,7
40534177,1,0
40534379,1,2
40534442,0,4
40534810,1,4
40534837,3,6
40534870,1,7
40534893,4,4
40534912,1,1
40534973,1,1
40535136,2,7
40535297,0,0
40535336,1,0
40535383,3,2
40535391,2,9
40535399,2,3
40535409,1,2
40535422,1,1
40535467,3,8
40535509,1,4
40535512,3,7
40535659,1,0
40535738,2,1
40536227,1,6
40536280,1,3
40536414,1,5
40536534,1,3
40536591,4,4
40536599,6,8
40536616,2,5
40536785,1,0
40537290,1,1
40537494,2,5
40537686,1,6
40537963,3,7
40538061,1,1
40538189,1,2
40538234,1,0
40538563,2,6
40538565,1,0
40538662,1,0
40538766,1,1
40539007,2,4
40539022,0,1
40539192,0,0
40539661,1,6
40539741,1,0
40539772,0,1
40539885,1,0
40541030,3,6
40541670,2,4
40542205,2,7
40542345,1,2
40542427,3,6
40542546,1,6
40543027,1,3
40543355,1,2
40543458,1,2
40544044,1,3
40544107,2,3
40544267,0,0
40544427,1,6
40544528,1,4
40544529,3,3
40544576,1,3
40544705,1,0
40544774,1,4
40544813,0,0
40544823,1,3
40544948,1,4
40544958,1,1
40545034,1,6
40545071,5,9
40545130,3,7
40545227,5,5
40545329,1,3
40545375,1,1
40545454,3,1
40545543,2,3
40545546,1,6
40545555,1,1
40545573,2,1
40545741,2,4
40545786,1,4
40545799,1,2
40545938,0,0
40545967,1,9
40546082,1,0
40546098,0,1
40546234,2,4
40546256,0,1
40546257,1,1
40546350,2,2
40546650,1,3
40546676,2,6
40546849,1,1
40547031,3,6
40547085,1,2
40547163,1,1
40547185,0,1
40547272,2,4
40547434,4,4
40547548,1,1
40547874,1,0
40547904,1,1
40547933,0,0
40548426,3,5
40548730,0,1
40548766,2,11
40548768,1,1
40549269,1,0
40549443,2,4
40549610,0,0
40549885,4,4
40549913,1,1
40550150,2,1
40550155,1,3
40550262,1,1
40550548,0,2
40550666,1,5
40550765,1,3
40550770,3,2
40550801,2,5
40551093,2,2
40551234,1,0
40551765,1,3
40551807,0,1
40551900,2,3
40551996,2,6
40552366,1,1
40552579,4,2
40552965,1,0
40553257,4,5
40553443,2,4
40553581,1,5
40553657,2,4
40554018,2,3
40554183,2,5
40554349,1,2
40554360,2,3
40554369,0,3
40554463,1,4
40556572,1,2
40557279,1,8
40557466,1,3
40557901,3,6
40557912,5,5
40558850,4,2
40559172,0,6
