,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
50002936,25.0,11.0,2014-01-09,2016-11-30,2016-02-18,11218,BROOKLYN,Pizza/Italian,157 PROSPECT PARK SW,11,2,2,23.0,9.0,10,2.3,0.9,286,1056,1,"157 PROSPECT PARK SW, NY",40.6548862,-73.9735102
50002954,4.0,3.0,2014-12-26,2017-03-03,2015-12-15,10029,MANHATTAN,American,184 E 116TH ST,3,1,2,3.0,1.0,2,1.5,0.5,444,798,0,"184 E 116TH ST, NY",,
50002970,13.0,10.0,2013-11-27,2016-11-17,2016-10-19,11212,BROOKLYN,Pizza,8 SUTTER AVE,10,1,1,12.0,9.0,9,1.33333333333,1.0,29,1086,0,"8 SUTTER AVE, NY",40.6651135,-73.9226058365
50002995,6.0,3.0,2014-02-18,2016-08-03,2015-07-13,11220,BROOKLYN,American,140 58 STREET,5,1,1,5.0,2.0,4,1.25,0.5,387,897,0,"140 58 STREET, NY",41.1327658237,-72.3550982198
50003000,11.0,5.0,2014-02-18,2016-06-14,2015-09-02,10036,MANHATTAN,Café/Coffee/Tea,555 W 42 STREET,6,1,1,10.0,4.0,5,2.0,0.8,286,847,0,"555 W 42 STREET, NY",,
50003001,10.0,8.0,2014-06-16,2016-12-02,2016-11-15,10013,MANHATTAN,"Juice, Smoothies, Fruit Salads",69A BAYARD STREET,9,1,1,9.0,7.0,8,1.125,0.875,17,900,0,"69A BAYARD STREET, NY",40.7154962,-73.9983632
50003015,10.0,5.0,2014-04-21,2016-05-17,2015-05-05,10038,MANHATTAN,Italian,225 FRONT STREET,6,1,1,9.0,4.0,5,1.8,0.8,378,757,0,"225 FRONT STREET, NY",,
50003019,8.0,4.0,2014-03-01,2016-04-30,2016-03-31,11238,BROOKLYN,Soul Food,120 LAFAYETTE AVE,4,1,1,7.0,3.0,3,2.33333333333,1.0,30,791,0,"120 LAFAYETTE AVE, NY",40.6888158684,-73.4245961974
50003020,4.0,4.0,2014-10-28,2017-01-21,2016-06-08,10024,MANHATTAN,American,2178 BROADWAY,3,1,1,3.0,3.0,2,1.5,1.5,227,816,0,"2178 BROADWAY, NY",40.782176,-73.9806003
50003026,3.0,2.0,2014-04-03,2016-04-04,2015-03-30,11204,BROOKLYN,Sandwiches,6724 BAY PARKWAY,3,1,1,2.0,1.0,2,1.0,0.5,371,732,0,"6724 BAY PARKWAY, NY",40.6123027,-73.983294
50003027,11.0,6.0,2014-06-03,2016-08-18,2016-05-04,10312,STATEN ISLAND,Southwestern,262 ARDEN AVE,5,2,2,9.0,4.0,4,2.25,1.0,106,807,1,"262 ARDEN AVE, NY",40.5522786607,-74.1907586607
50003034,10.0,1.0,2015-03-21,2017-03-30,2016-06-03,11231,BROOKLYN,Barbecue,454 VAN BRUNT ST,4,1,1,9.0,0.0,3,3.0,0.0,300,740,0,"454 VAN BRUNT ST, NY",40.6748919,-74.016183
50003035,1.0,3.0,2015-01-07,2017-03-22,2016-02-19,10010,MANHATTAN,"Juice, Smoothies, Fruit Salads",109 EAST 23RD STREET,3,1,1,0.0,2.0,2,0.0,1.0,397,805,0,"109 EAST 23RD STREET, NY",40.74005875,-73.985838
50003042,5.0,4.0,2014-02-24,2016-08-09,2015-07-28,10019,MANHATTAN,Indian,58 WEST 56TH STREET,5,1,2,4.0,2.0,4,1.0,0.5,378,897,0,"58 WEST 56TH STREET, NY",40.7632089,-73.9771013141
50003055,10.0,6.0,2014-07-08,2016-07-13,2016-03-31,10011,MANHATTAN,Filipino,50 GREENWICH AVENUE,5,3,1,7.0,5.0,4,1.75,1.25,104,736,1,"50 GREENWICH AVENUE, NY",40.7357384,-74.0003440031
