,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus
40366109,17.0,9.0,2014-03-08,2016-08-24,2015-09-09,11215,BROOKLYN,American,416 5 AVENUE,7,1,1,16.0,8.0,6,2.6666666666666665,1.3333333333333333,350,900,0
40366132,6.0,4.0,2014-12-18,2017-03-22,2016-02-09,10302,STATEN ISLAND,Pizza/Italian,524 PORT RICHMOND AVENUE,3,3,3,3.0,1.0,2,1.5,0.5,407,825,1
40366154,16.0,13.0,2013-07-20,2016-05-05,2015-12-08,11229,BROOKLYN,Italian,2929 AVENUE R,8,2,1,14.0,12.0,7,2.0,1.7142857142857142,149,1020,1
40366162,14.0,11.0,2013-06-11,2016-05-11,2015-04-23,11418,QUEENS,American,11909 ATLANTIC AVENUE,8,1,1,13.0,10.0,7,1.8571428571428572,1.4285714285714286,384,1065,0
40366222,15.0,8.0,2014-07-29,2017-01-27,2016-12-27,10005,MANHATTAN,Irish,80 BEAVER STREET,7,1,1,14.0,7.0,6,2.3333333333333335,1.1666666666666667,31,913,0
40366230,21.0,14.0,2014-06-07,2017-03-01,2016-12-15,11420,QUEENS,Italian,13558 LEFFERTS BOULEVARD,11,2,1,19.0,13.0,10,1.9,1.3,76,998,1
40366356,15.0,11.0,2013-03-09,2016-02-19,2015-05-30,11697,QUEENS,American,20224 ROCKAWAY POINT BOULEVARD,9,1,2,14.0,9.0,8,1.75,1.125,265,1077,0
40366361,9.0,3.0,2014-07-02,2017-01-18,2015-12-22,11229,BROOKLYN,American,1611 AVENUE U,5,1,1,8.0,2.0,4,2.0,0.5,393,931,0
40366379,13.0,12.0,2014-01-06,2016-10-25,2016-04-18,10001,MANHATTAN,Irish,137 WEST   33 STREET,8,2,2,11.0,10.0,7,1.5714285714285714,1.4285714285714286,190,1023,1
40366381,2.0,3.0,2014-09-24,2017-03-24,2016-02-24,10065,MANHATTAN,American,1118 1 AVENUE,3,1,1,1.0,2.0,2,0.5,1.0,394,912,0
40366396,20.0,14.0,2014-06-10,2017-03-31,2016-08-22,10016,MANHATTAN,American,433 PARK AVENUE SOUTH,12,3,2,17.0,12.0,11,1.5454545454545454,1.0909090909090908,221,1025,1
40366425,6.0,7.0,2014-02-12,2016-11-15,2015-10-21,11367,QUEENS,Jewish/Kosher,6828 MAIN STREET,5,1,1,5.0,6.0,4,1.25,1.5,391,1007,0
40366471,4.0,2.0,2014-11-17,2017-02-08,2015-12-29,11235,BROOKLYN,American,2901 EMMONS AVENUE,3,2,2,2.0,0.0,2,1.0,0.0,407,814,1
40366473,7.0,3.0,2013-06-26,2016-04-22,2015-03-20,10014,MANHATTAN,Seafood,168 WEST    4 STREET,5,1,2,6.0,1.0,4,1.5,0.25,399,1031,0
40366487,3.0,4.0,2014-10-30,2016-12-06,2015-11-19,11229,BROOKLYN,American,3432 NOSTRAND AVENUE,3,2,1,1.0,3.0,2,0.5,1.5,383,768,1
40366497,9.0,8.0,2013-04-30,2016-02-25,2015-02-17,10463,BRONX,American,5820 BROADWAY,7,1,1,8.0,7.0,6,1.3333333333333333,1.1666666666666667,373,1031,0
40366543,36.0,15.0,2014-04-21,2017-03-01,2017-02-13,11368,QUEENS,Chinese,3737 JUNCTION BOULEVARD,14,1,1,35.0,14.0,13,2.6923076923076925,1.0769230769230769,16,1045,0
40366549,10.0,4.0,2013-11-30,2016-05-04,2015-04-08,11375,QUEENS,Irish,10807 72 AVENUE,6,1,1,9.0,3.0,5,1.8,0.6,392,886,0
40366574,17.0,8.0,2013-04-08,2016-03-23,2015-03-10,10006,MANHATTAN,Irish,11 TRINITY PLACE,10,1,1,16.0,7.0,9,1.7777777777777777,0.7777777777777778,379,1080,0
40366586,15.0,17.0,2013-08-20,2016-08-08,2016-07-18,11367,QUEENS,Jewish/Kosher,7124 MAIN STREET,10,3,1,12.0,16.0,9,1.3333333333333333,1.7777777777777777,21,1084,1
40366643,3.0,4.0,2014-12-16,2017-03-01,2016-01-08,10014,MANHATTAN,American,225 WEST    4 STREET,3,2,1,1.0,3.0,2,0.5,1.5,418,806,1
40366652,4.0,2.0,2014-12-03,2017-01-12,2015-12-02,11201,BROOKLYN,Pizza/Italian,80 HENRY STREET,3,1,1,3.0,1.0,2,1.5,0.5,407,771,0
40366661,20.0,10.0,2014-07-21,2016-10-11,2016-01-28,10016,MANHATTAN,Tex-Mex,627 2 AVENUE,9,2,1,18.0,9.0,8,2.25,1.125,257,813,1
40366711,33.0,14.0,2013-08-21,2016-05-24,2015-09-24,10310,STATEN ISLAND,American,697 FOREST AVENUE,9,2,1,31.0,13.0,8,3.875,1.625,243,1007,1
40366716,9.0,9.0,2014-05-05,2016-11-07,2016-10-13,10022,MANHATTAN,Chinese,155 EAST   55 STREET,6,1,1,8.0,8.0,5,1.6,1.6,25,917,0
