,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
40364681,6.0,5.0,2014-05-14,2016-08-18,2016-05-26,11235,BROOKLYN,American,2602 EAST   15 STREET,4,2,2,4.0,3.0,3,1.33333333333,1.0,84,827,1,"2602 EAST   15 STREET, NY",,
40364691,6.0,5.0,2014-11-24,2017-02-24,2017-01-27,10021,MANHATTAN,Continental,.1-A EAST 77 ST,4,1,1,5.0,4.0,3,1.66666666667,1.33333333333,28,823,0,".1-A EAST 77 ST, NY",,
40364863,13.0,7.0,2014-03-14,2017-03-02,2016-08-31,10022,MANHATTAN,American,225 EAST   60 STREET,9,2,2,11.0,5.0,8,1.375,0.625,183,1084,1,"225 EAST   60 STREET, NY",,
40365075,7.0,10.0,2014-01-09,2016-12-12,2016-11-14,10003,MANHATTAN,Irish,15 EAST    7 STREET,8,1,1,6.0,9.0,7,0.857142857143,1.28571428571,28,1068,0,"15 EAST    7 STREET, NY",,
40365166,16.0,17.0,2014-05-12,2016-12-08,2016-11-28,10014,MANHATTAN,American,331 WEST    4 STREET,8,1,3,15.0,14.0,7,2.14285714286,2.0,10,941,0,"331 WEST    4 STREET, NY",,
40365226,26.0,14.0,2014-04-28,2017-01-30,2016-01-20,11226,BROOKLYN,Donuts,1449 NOSTRAND AVENUE,13,2,1,24.0,13.0,12,2.0,1.08333333333,376,1008,1,"1449 NOSTRAND AVENUE, NY",40.6509830714,-73.9494820714
40365264,7.0,5.0,2014-04-09,2016-11-15,2015-11-17,10022,MANHATTAN,French,3 EAST   52 STREET,5,1,1,6.0,4.0,4,1.5,1.0,364,951,0,"3 EAST   52 STREET, NY",,
40365355,10.0,11.0,2013-07-09,2016-06-09,2015-12-15,11228,BROOKLYN,Italian,7201 8 AVENUE,7,2,2,8.0,9.0,6,1.33333333333,1.5,177,1066,1,"7201 8 AVENUE, NY",,
40365361,16.0,8.0,2014-06-18,2017-02-16,2016-07-07,10036,MANHATTAN,American,15 WEST   43 STREET,8,1,1,15.0,7.0,7,2.14285714286,1.0,224,974,0,"15 WEST   43 STREET, NY",,
40365414,10.0,11.0,2014-06-24,2017-03-02,2017-01-31,10022,MANHATTAN,French,405 EAST   52 STREET,7,1,2,9.0,9.0,6,1.5,1.5,30,982,0,"405 EAST   52 STREET, NY",,
40365472,22.0,12.0,2014-02-11,2016-09-29,2016-03-21,10011,MANHATTAN,Spanish,113 WEST   13 STREET,10,1,2,21.0,10.0,9,2.33333333333,1.11111111111,192,961,0,"113 WEST   13 STREET, NY",,
40365499,13.0,8.0,2014-04-15,2016-11-23,2016-10-20,10451,BRONX,American,72 EAST  161 STREET,6,2,1,11.0,7.0,5,2.2,1.4,34,953,1,"72 EAST  161 STREET, NY",,
40365525,18.0,15.0,2015-01-21,2017-04-11,2016-09-26,10011,MANHATTAN,Donuts,203 WEST   14 STREET,11,1,2,17.0,13.0,10,1.7,1.3,197,811,0,"203 WEST   14 STREET, NY",,
40365627,10.0,5.0,2014-07-07,2017-02-22,2017-02-07,11372,QUEENS,American,8104 37 AVENUE,6,2,1,8.0,4.0,5,1.6,0.8,15,961,1,"8104 37 AVENUE, NY",,
40365632,8.0,8.0,2014-04-23,2017-04-05,2017-03-02,11204,BROOKLYN,Pizza,6322 18 AVENUE,6,3,1,5.0,7.0,5,1.0,1.4,34,1078,1,"6322 18 AVENUE, NY",,
40365644,4.0,8.0,2013-09-25,2016-07-19,2015-10-09,10036,MANHATTAN,American,326 WEST   46 STREET,5,1,1,3.0,7.0,4,0.75,1.75,284,1028,0,"326 WEST   46 STREET, NY",,
40365709,29.0,12.0,2013-05-28,2016-01-27,2016-01-04,10065,MANHATTAN,Italian,351 EAST   62 STREET,10,2,1,27.0,11.0,9,3.0,1.22222222222,23,974,1,"351 EAST   62 STREET, NY",,
40365726,10.0,2.0,2014-05-13,2017-02-15,2016-01-27,10036,MANHATTAN,Italian,319321 323 W. 46TH ST.,5,2,2,8.0,0.0,4,2.0,0.0,385,1009,1,"319321 323 W. 46TH ST., NY",,
40365784,11.0,10.0,2014-02-20,2016-10-03,2015-09-18,11224,BROOKLYN,Italian,2911 WEST   15 STREET,6,1,3,10.0,7.0,5,2.0,1.4,381,956,0,"2911 WEST   15 STREET, NY",,
40365789,16.0,12.0,2013-07-22,2016-05-16,2015-10-05,10019,MANHATTAN,Italian,236 WEST   56 STREET,9,2,2,14.0,10.0,8,1.75,1.25,224,1029,1,"236 WEST   56 STREET, NY",,
40365871,3.0,5.0,2014-08-11,2016-08-18,2015-07-27,10022,MANHATTAN,American,358 EAST   57 STREET,3,1,1,2.0,4.0,2,1.0,2.0,388,738,0,"358 EAST   57 STREET, NY",,
40365893,14.0,11.0,2013-08-02,2016-02-20,2015-02-20,10467,BRONX,Irish,331 EAST  204 STREET,8,1,1,13.0,10.0,7,1.85714285714,1.42857142857,365,932,0,"331 EAST  204 STREET, NY",,
40366473,7.0,3.0,2013-06-26,2016-04-22,2015-03-20,10014,MANHATTAN,Seafood,168 WEST    4 STREET,5,1,2,6.0,1.0,4,1.5,0.25,399,1031,0,"168 WEST    4 STREET, NY",,
40366549,10.0,4.0,2013-11-30,2016-05-04,2015-04-08,11375,QUEENS,Irish,10807 72 AVENUE,6,1,1,9.0,3.0,5,1.8,0.6,392,886,0,"10807 72 AVENUE, NY",,
40366643,3.0,4.0,2014-12-16,2017-03-01,2016-01-08,10014,MANHATTAN,American,225 WEST    4 STREET,3,2,1,1.0,3.0,2,0.5,1.5,418,806,1,"225 WEST    4 STREET, NY",,
40366716,9.0,9.0,2014-05-05,2016-11-07,2016-10-13,10022,MANHATTAN,Chinese,155 EAST   55 STREET,6,1,1,8.0,8.0,5,1.6,1.6,25,917,0,"155 EAST   55 STREET, NY",,
40366748,30.0,17.0,2014-07-07,2017-03-20,2016-08-25,10452,BRONX,American,21 EAST  170 STREET,14,4,4,26.0,13.0,13,2.0,1.0,207,987,1,"21 EAST  170 STREET, NY",,
40367005,16.0,11.0,2013-06-18,2016-06-17,2015-11-10,11204,BROOKLYN,Pizza/Italian,6514 18 AVENUE,10,1,1,15.0,10.0,9,1.66666666667,1.11111111111,220,1095,0,"6514 18 AVENUE, NY",,
40367232,5.0,8.0,2013-08-05,2016-07-27,2016-02-09,11105,QUEENS,Irish,2257 31 STREET,6,2,3,3.0,5.0,5,0.6,1.0,169,1087,1,"2257 31 STREET, NY",,
40367240,1.0,4.0,2014-02-20,2016-03-02,2015-02-26,11377,QUEENS,American,4408 60TH ST. - STORE,3,1,1,0.0,3.0,2,0.0,1.5,370,741,0,"4408 60TH ST. - STORE, NY",,
40367278,5.0,5.0,2015-01-06,2017-02-27,2016-03-29,11360,QUEENS,Pizza/Italian,21249 26 AVENUE,3,2,2,3.0,3.0,2,1.5,1.5,335,783,1,"21249 26 AVENUE, NY",,
40367373,10.0,9.0,2014-03-01,2016-03-22,2015-02-11,10065,MANHATTAN,American,232 EAST   64 STREET,6,1,1,9.0,8.0,5,1.8,1.6,405,752,0,"232 EAST   64 STREET, NY",,
40367407,4.0,4.0,2013-07-23,2016-05-04,2015-06-29,10003,MANHATTAN,Italian,302 EAST   12 STREET,4,2,1,2.0,3.0,3,0.666666666667,1.0,310,1016,1,"302 EAST   12 STREET, NY",,
40367540,20.0,8.0,2014-03-05,2017-03-01,2016-08-16,11103,QUEENS,Italian,4201 28 AVENUE,11,1,1,19.0,7.0,10,1.9,0.7,197,1092,0,"4201 28 AVENUE, NY",,
40367544,10.0,5.0,2014-06-04,2016-11-21,2016-11-02,10021,MANHATTAN,Mediterranean,406 EAST   73 STREET,6,1,2,9.0,3.0,5,1.8,0.6,19,901,0,"406 EAST   73 STREET, NY",,
40367715,12.0,7.0,2014-05-15,2017-01-24,2016-12-27,10019,MANHATTAN,French,48 WEST   55 STREET,6,3,1,9.0,6.0,5,1.8,1.2,28,985,1,"48 WEST   55 STREET, NY",,
40367752,13.0,6.0,2014-06-10,2017-02-17,2017-01-10,10065,MANHATTAN,American,521 EAST   68 STREET,7,1,1,12.0,5.0,6,2.0,0.833333333333,38,983,0,"521 EAST   68 STREET, NY",,
40367766,2.0,5.0,2014-02-18,2017-01-25,2016-01-25,10023,MANHATTAN,Hotdogs,2080 BROADWAY,4,1,1,1.0,4.0,3,0.333333333333,1.33333333333,366,1072,0,"2080 BROADWAY, NY",40.7783061,-73.981633
40367789,12.0,11.0,2014-04-26,2016-12-08,2016-10-08,11415,QUEENS,Pizza,8128 LEFFERTS BOULEVARD,7,1,1,11.0,10.0,6,1.83333333333,1.66666666667,61,957,0,"8128 LEFFERTS BOULEVARD, NY",40.668726,-73.8214429
