,search_info,google_name,rating
41112888,"s & a west indian restaurant 10306 LIBERTY AVENUE, NY",s & a west india restaurant,4.2
41113037,"bite 211 EAST   14 STREET, NY",bite,4.4
41113339,"famous original ray's pizza 204 9 AVENUE, NY",famous original ray's pizza,3.5
41113515,"fortunata's ii 305 KNICKERBOCKER AVENUE, NY",fortunata's pizza,3.8
41114235,"boss tweed's saloon 115 ESSEX STREET, NY",boss tweeds,3.8
41114238,"bushwick country club 618 GRAND STREET, NY",bushwick country club,4.1
41114294,"new no. 1 chinese restaurant 83 WEST 115 STREET, NY",no. 1,3.4
41114613,"royal rib house 303 HALSEY STREET, NY",royal rib house,4.6
41114768,"puffy's tavern 81 HUDSON STREET, NY",puffy's tavern,4.4
41115145,"good shepherd services bronx djj 2207 UNIVERSITY AVENUE, NY",SEARCH FAILURE,
41115188,"waterfalls italian cuisine 2016 VICTORY BOULEVARD, NY",waterfalls restaurant,4.2
41115406,"cafe hadar 2923 AVENUE N, NY",cafe hadar,4
41115447,"uno pizzeria and grill 9201 4 AVENUE, NY",uno pizzeria & grill,3.8
41115711,"tierra's centro americanas restaurant 8752 168 STREET, NY",tierras centro americanas,5
41115740,"maracuja 279 GRAND STREET, NY",maracuja bar and grill,4
41115745,"rachel's 408 5 AVENUE, NY",rachel's taqueria,4.1
41115762,"spring gardens restaurant 13529 SPRINGFIELD BOULEVARD, NY",spring gardens,4.2
41116011,"cafe plaza deli 11 BROADWAY, NY",cafe plaza deli,3.2
41116368,"crown heights bunch-o-bagels and more 361 TROY AVENUE, NY",bunch-o-bagels,4.6
41116537,"elsa la reina del chicharron 4840 BROADWAY, NY",elsa la reina del chicharron,4
41116575,"generoso bakery 5812 5 AVENUE, NY",generoso's bakery inc,4.2
41116590,"sunita 106 NORFOLK STREET, NY",sunita bar,4.4
41116617,"eddie's sweet shop 10529 METROPOLITAN AVENUE, NY",eddie's sweet shop,4.3
41117050,"28 noodles 417 3 AVENUE, NY",noodles 28,3.3
41117086,"sabor a mexico ii 233 EAST   77 STREET, NY",sabor a mexico ii,3.6
