,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,3-day temp,3-day humidity,crit_vs_sec_last_insp,prior_2p_crit_insps,rating,rating_null,rating_null_zip,food_poisoning_complaints,food_establishment_complaints,electric_complaints,safety_complaints,rodent_complaints,dirty_conditions_complaints,general_complaints,missed_collection_complaints,police_matter_complaints,liq_license,side_license,target,prediction,true_positive,true_negative,false_positive,false_negative,latitude,longitude
40366487,3.0,4.0,2014-10-30,2016-12-06,2015-11-19,11229,BROOKLYN,American,3432 NOSTRAND AVENUE,3,2,1,1.0,3.0,2,0.5,1.5,383,768,1,45.33333333,63.33333333,1,0,4.3,0,0,1,8,2,0,2.0,13.0,4.0,8.0,1,False,False,1,0,False,False,False,True,40.5996008421,-73.94183873680001
40366643,3.0,4.0,2014-12-16,2017-03-01,2016-01-08,10014,MANHATTAN,American,225 WEST    4 STREET,3,2,1,1.0,3.0,2,0.5,1.5,418,806,1,52.0,67.66666667,0,0,3.5,0,0,9,52,19,1,65.0,60.0,43.0,38.0,10,True,True,1,0,False,False,False,True,40.7340467,-74.0027764
40366652,4.0,2.0,2014-12-03,2017-01-12,2015-12-02,11201,BROOKLYN,Pizza/Italian,80 HENRY STREET,3,1,1,3.0,1.0,2,1.5,0.5,407,771,0,44.66666667,76.66666667,1,1,4.2,0,0,4,10,17,3,7.0,9.0,15.0,8.0,5,True,True,0,0,False,True,False,False,40.69849715,-73.9927279
40366716,9.0,9.0,2014-05-05,2016-11-07,2016-10-13,10022,MANHATTAN,Chinese,155 EAST   55 STREET,6,1,1,8.0,8.0,5,1.6,1.6,25,917,0,50.66666667,51.33333333,2,3,3.9,0,0,19,42,8,7,16.0,17.0,8.0,9.0,9,True,True,0,1,False,False,True,False,40.7594505,-73.9690693
40366748,30.0,17.0,2014-07-07,2017-03-20,2016-08-25,10452,BRONX,American,21 EAST  170 STREET,14,4,4,26.0,13.0,13,2.0,1.0,207,987,1,42.0,47.33333333,2,8,3.7,0,0,2,13,78,15,24.0,44.0,70.0,3.0,8,True,False,1,1,True,False,False,False,40.8401362,-73.91684240000002
40366812,16.0,6.0,2014-02-01,2016-10-25,2016-09-01,11427,QUEENS,Italian,22020 HILLSIDE AVENUE,7,2,2,14.0,4.0,6,2.33333333333,0.666666666667,54,997,1,53.66666667,47.0,3,6,4.4,0,0,1,2,1,2,1.0,5.0,0.0,6.0,0,False,False,1,1,True,False,False,False,40.7374599,-73.707734
40367534,13.0,12.0,2013-09-30,2016-08-08,2016-01-27,10018,MANHATTAN,Jewish/Kosher,1372 BROADWAY,8,1,2,12.0,10.0,7,1.71428571429,1.42857142857,194,1043,0,79.0,58.33333333,1,4,3.9,0,0,24,63,0,0,39.0,31.0,2.0,1.0,6,True,False,0,0,False,True,False,False,40.7523476,-73.9872393
40367790,12.0,9.0,2013-11-18,2016-09-06,2016-04-19,11226,BROOKLYN,Hamburgers,943 FLATBUSH AVENUE,8,1,1,11.0,8.0,7,1.57142857143,1.14285714286,140,1023,0,75.66666667,56.33333333,0,4,3.0,0,0,2,5,0,0,5.0,17.0,0.0,5.0,2,True,False,0,1,False,False,True,False,40.610391,-73.9233547
40368207,10.0,5.0,2013-08-27,2016-04-07,2015-04-23,11234,BROOKLYN,Jewish/Kosher,5823 AVENUE T,5,2,1,8.0,4.0,4,2.0,1.0,350,954,1,43.0,58.33333333,1,2,4.0,0,0,0,0,1,1,2.0,9.0,1.0,17.0,0,True,False,1,0,False,False,False,True,40.6153833878,-73.918464102
40368318,17.0,11.0,2013-10-09,2016-08-29,2016-02-29,10017,MANHATTAN,American,21 EAST   47 STREET,11,2,1,15.0,10.0,10,1.5,1.0,182,1055,1,82.0,54.33333333,1,4,3.8,0,0,20,25,1,0,15.0,7.0,2.0,4.0,28,True,True,1,0,False,False,False,True,40.7563016,-73.9771121
