Serial#,County,Type,Class,Premises Name,Address,Address2,City,State,Zip,
1197347,NEW,OP,252,M &amp; M 28TH ST RESTAURANT LLC,382 8TH AVE A/K/A 261 W 29 ST,,NEW YORK,NY,10001,
1022285,NEW,AX,122,M &amp; M AUDUBON SUPERMARKET CORP,494 AUDUBON AVE,,NEW YORK,NY,10040,
1019279,NEW,A,122,M &amp; M FRUIT INC,1366 YORK AVENUE STORE #1,,NEW YORK,NY,10021,
1020714,NEW,AX,122,M &amp; M GROCERY INC,275 W 4TH STREET,,NEW YORK,NY,10014,
1164801,NEW,ST,1,M &amp; M TAVERN CORP,1074 1ST AVENUE,,NEW YORK,NY,10022,
1164800,NEW,OP,252,M &amp; M TAVERN CORP,1074 1ST AVENUE,,NEW YORK,NY,10022,
1022990,NEW,EB,141,M &amp; N 41 INC,369 LEXINGTON AVENUE,,NEW YORK,NY,10017,
1019151,NEW,A,122,M &amp; N SMOKE &amp; CARD INC,129 E 28TH STREET,,NEW YORK,NY,10016,
1019444,NEW,A,122,M &amp; P GROCERY CORP,268 ST NICHOLAS AVE,,NEW YORK,NY,10027,
1025601,NEW,OP,252,M &amp; Q RESTAURANT INC,78 CARMINE STREET,,NEW YORK,NY,10014,
1122603,NEW,A,122,M &amp; R FOOD GROUP INC,17 JOHN STREET,,NEW YORK,NY,10038,
1114990,NEW,RW,341,M &amp; R FOOD GROUP INC,142 FULTON STREET,,NEW YORK,NY,10038,
1140220,NEW,ST,1,M &amp; R MEDITERRANEAN CORP,304 E 6TH STREET,,NEW YORK,NY,10003,
1140219,NEW,OP,252,M &amp; R MEDITERRANEAN CORP,304 E 6TH STREET,,NEW YORK,NY,10003,
1213909,NEW,OP,901,M &amp; R MEDITERRANEAN CORP,304 E 6TH STREET,,NEW YORK,NY,10003,
1219429,NEW,OP,252,M &amp; R RESTAURANT HOLDINGS CORP,"308 E 6TH STREET, STORE #2 ",,NEW YORK,NY,10003,
1219483,NEW,ST,1,M &amp; R RESTAURANT HOLDINGS CORP,"308 E 6TH STREET, STORE #2 (EA",,NEW YORK,NY,10003,
1224641,NEW,ST,3,M &amp; R RESTAURANT HOLDINGS CORP,"308 E 6TH STREET, STORE #2 ",,NEW YORK,NY,10003,
1225993,NEW,ST,4,M &amp; R RESTAURANT HOLDINGS CORP,"308 E 6TH STREET, STORE #2 ",,NEW YORK,NY,10003,
1223214,NEW,ST,2,M &amp; R RESTAURANT HOLDINGS CORP,"308 E 6TH STREET, STORE #2 ",,NEW YORK,NY,10003,
1227444,NEW,ST,5,M &amp; R RESTAURANT HOLDINGS CORP,"308 E 6TH STREET, STORE #2 ",,NEW YORK,NY,10003,
1155795,NEW,RW,341,M &amp; S 276 CORP,276 FIFTH AVENUE,,NEW YORK,NY,10001,
1158471,NEW,AX,122,M &amp; S FOOD CORP,2482 7TH AVE,,NEW YORK,NY,10030,
1158472,NEW,ST,1,M &amp; S FOOD CORP,2482 7TH AVE,,NEW YORK,NY,10030,
1239956,NEW,TW,344,M &amp; S HOSPITALITY CORP,336 W 20TH ST,,NEW YORK,NY,10011,
1135138,NEW,TW,344,M &amp; S MUSIC STUDIO INC,28 W 32ND ST 3RD FLR,,NEW YORK,NY,10001,
1022820,NEW,EB,141,M &amp; U FOOD CORP,412 BROADWAY,,NEW YORK,NY,10003,
1286538,NEW,ST,1,M &amp; W 1 GOURMET DELI CORP,53 VERMILYEA AVE ,,NEW YORK ,NY,10034,
1286537,NEW,AX,122,M &amp; W 1 GOURMET DELI CORP,53 VERMILYEA AVE ,,NEW YORK ,NY,10034,
1273499,NEW,AX,122,M &amp; W GOURMET DELI CORP,53 VERMILYEA AVE,,NEW YORK,NY,10034,
1268951,NEW,AX,122,M &amp; W GOURMET DELI CORP,53 VERMILYEA AVE,,NEW YORK,NY,10034,
1019032,NEW,A,122,M &amp; Y GOURMET GROCERS INC,138 5TH AVENUE,,NEW YORK,NY,10011,
1114991,NEW,ST,1,M &amp;R FOOD GROUP INC,142 FULTON STREET,,NEW YORK,NY,10038,
1024289,NEW,OP,252,M 3 LLC,40 E 20TH STREET,,NEW YORK,NY,10003,
1268411,NEW,OP,252,M 49 LLC,240 242 W 49TH ST,,NEW YORK,NY,10019,
1167090,NEW,OP,252,M A B B INC,15 STONE STREET,,NEW YORK,NY,10004,
1167091,NEW,ST,1,M A B B INC,15 STONE STREET,,NEW YORK,NY,10014,
1020715,NEW,AX,122,M A B SUPERMARKET CORP,351 W 14TH ST,,NEW YORK,NY,10014,
1156505,NEW,RW,341,M A ENTERPRISES INC,1412 6TH AVENUE,,NEW YORK,NY,10019,
1256841,NEW,AX,122,M A FOOD CENTER CORP,3852 10TH AVE,,NEW YORK,NY,10034,
1029308,NEW,RW,341,M A M I DELI INC,99 101 HUDSON STREET,,NEW YORK,NY,10013,
1029309,NEW,RW,341,M A M I DELI INC,99 101 HUDSON STREET,,NEW YORK,NY,10013,
1026076,NEW,OP,252,M ARAI INC,137 E 45TH STREET,,NEW YORK,NY,10017,
1026692,NEW,OP,252,M B R P  RESTAURANT INC,1454 2ND AVENUE,,NEW YORK,NY,10021,
1104530,NEW,OP,901,M B R P  RESTAURANT INC,1454 2ND AVENUE,,NEW YORK,NY,10021,
1132634,NEW,A,122,M B WEST SIDE DELI CORP,318 WEST 142ND STREET,,NEW YORK,NY,10030,
1126570,NEW,A,122,M C H TRADING CORP,22 CATHERINE STREET,,NEW YORK,NY,10038,
1026005,NEW,OP,252,M C RESTAURANT INC,225 E 44TH STREET,,NEW YORK,NY,10017,
1022286,NEW,AX,122,M C SUPERMARKET CORP,7 HILLSIDE AVENUE,,NEW YORK,NY,10040,
